Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
197,tt15167138,2024-01-11,2024-01-11,,"What If...?: What If... Happy Hogan Saved Christmas?","What If...?: What If... Happy Hogan Saved Christmas?",https://www.imdb.com/title/tt15167138/,Episódio de TV,6.6,29,2023,"Animação, Ação, Aventura, Ficção científica",6382,2023-12-24,"Bryan Andrews",,
198,tt15167142,2024-01-12,2024-01-12,,"What If...?: What If... Iron Man Crashed Into the Grandmaster?","What If...?: What If... Iron Man Crashed Into the Grandmaster?",https://www.imdb.com/title/tt15167142/,Episódio de TV,7.2,33,2023,"Animação, Ação, Aventura, Ficção científica",6235,2023-12-25,"Bryan Andrews",,
199,tt15167144,2024-01-20,2024-01-20,,"What If...?: What If... Captain Carter Fought the Hydra Stomper?","What If...?: What If... Captain Carter Fought the Hydra Stomper?",https://www.imdb.com/title/tt15167144/,Episódio de TV,7.1,32,2023,"Animação, Ação, Aventura, Ficção científica",5964,2023-12-26,"Bryan Andrews",,
200,tt15167146,2024-01-20,2024-01-20,,"What If...?: What If... Kahhori Reshaped the World?","What If...?: What If... Kahhori Reshaped the World?",https://www.imdb.com/title/tt15167146/,Episódio de TV,7.4,33,2023,"Animação, Ação, Aventura, Ficção científica",7088,2023-12-27,"Bryan Andrews",,
201,tt15167148,2024-01-24,2024-01-24,,"What If...?: What If... Hela Found the Ten Rings?","What If...?: What If... Hela Found the Ten Rings?",https://www.imdb.com/title/tt15167148/,Episódio de TV,7.8,30,2023,"Animação, Ação, Aventura, Ficção científica",6270,2023-12-28,"Bryan Andrews",,
202,tt27485161,2024-03-29,2024-03-29,,"Star Wars: The Bad Batch: Confined","Star Wars: The Bad Batch: Confined",https://www.imdb.com/title/tt27485161/,Episódio de TV,7.8,31,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",3114,2024-02-21,"Brad Rau, Saul Ruiz",,
203,tt31022101,2024-03-29,2024-03-29,,"Star Wars: The Bad Batch: Paths Unknown","Star Wars: The Bad Batch: Paths Unknown",https://www.imdb.com/title/tt31022101/,Episódio de TV,7.3,25,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2932,2024-02-21,"Brad Rau, Nathaniel Villanueva",,
204,tt31022106,2024-03-29,2024-03-29,,"Star Wars: The Bad Batch: Shadows of Tantiss","Star Wars: The Bad Batch: Shadows of Tantiss",https://www.imdb.com/title/tt31022106/,Episódio de TV,8.6,25,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",3164,2024-02-21,"Brad Rau, Steward Lee",,
205,tt13820376,2024-06-06,2024-06-06,,"The Acolyte: Lost/Found","The Acolyte: Lost/Found",https://www.imdb.com/title/tt13820376/,Episódio de TV,5.4,40,2024,"Ação, Aventura, Fantasia, Mistério, Ficção científica, Suspense",27922,2024-06-04,"Leslye Headland",,
206,tt15387022,2024-06-06,2024-06-06,,"The Acolyte: Revenge/Justice","The Acolyte: Revenge/Justice",https://www.imdb.com/title/tt15387022/,Episódio de TV,5.2,36,2024,"Ação, Aventura, Fantasia, Mistério, Ficção científica, Suspense",24303,2024-06-04,"Leslye Headland",,
207,tt15387026,2024-06-13,2024-06-13,,"The Acolyte: Destiny","The Acolyte: Destiny",https://www.imdb.com/title/tt15387026/,Episódio de TV,3.8,41,2024,"Ação, Aventura, Fantasia, Mistério, Ficção científica, Suspense",26910,2024-06-11,"Kogonada",,
208,tt21027866,2024-06-14,2024-06-14,,"The Boys: Department of Dirty Tricks","The Boys: Department of Dirty Tricks",https://www.imdb.com/title/tt21027866/,Episódio de TV,7.4,62,2024,"Ação, Comédia, Policial, Drama, Ficção científica",23411,2024-06-13,"Philip Sgriccia",,
209,tt28429719,2024-06-14,2024-06-14,,"The Boys: Life Among the Septics","The Boys: Life Among the Septics",https://www.imdb.com/title/tt28429719/,Episódio de TV,7.1,59,2024,"Ação, Comédia, Policial, Drama, Ficção científica",21018,2024-06-13,"Karen Gaviola",,
