Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
362,tt32550882,2025-04-28,2025-04-28,,"The Last of Us: The Path","The Last of Us: The Path",https://www.imdb.com/title/tt32550882/,Episódio de TV,6.7,57,2025,"Ação, Aventura, Drama, Terror, Ficção científica, Suspense",32415,2025-04-27,"Peter Hoar",,
363,tt0134402,2025-04-29,2025-04-29,,"Cabra Marcado Para Morrer","Cabra Marcado Para Morrer",https://www.imdb.com/title/tt0134402/,Filme,8.3,119,1984,"Documentário, História",2056,1984-12-06,"Eduardo Coutinho",10,2025-04-29
364,tt20603294,2025-04-30,2025-04-30,,"Andor: Ever Been to Ghorman?","Andor: Ever Been to Ghorman?",https://www.imdb.com/title/tt20603294/,Episódio de TV,7.7,54,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",14268,2025-04-29,"Ariel Kleiman",,
365,tt20603298,2025-04-30,2025-04-30,,"Andor: I Have Friends Everywhere","Andor: I Have Friends Everywhere",https://www.imdb.com/title/tt20603298/,Episódio de TV,8.1,54,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",14312,2025-04-29,"Ariel Kleiman",,
366,tt20603302,2025-04-30,2025-04-30,,"Andor: What a Festive Evening","Andor: What a Festive Evening",https://www.imdb.com/title/tt20603302/,Episódio de TV,8.6,54,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",15798,2025-04-29,"Ariel Kleiman",9,2025-04-30
367,tt13424086,2025-05-01,2025-05-01,,"A Família de Elizabeth Teixeira","A Família de Elizabeth Teixeira",https://www.imdb.com/title/tt13424086/,Filme,7.5,65,2014,"Documentário",15,2014,"Eduardo Coutinho",,
368,tt32550883,2025-05-07,2025-05-07,,"The Last of Us: Day One","The Last of Us: Day One",https://www.imdb.com/title/tt32550883/,Episódio de TV,6.1,53,2025,"Ação, Aventura, Drama, Terror, Ficção científica, Suspense",39679,2025-05-04,"Kate Herron",,
369,tt20603306,2025-05-07,2025-05-07,,"Andor: Messenger","Andor: Messenger",https://www.imdb.com/title/tt20603306/,Episódio de TV,8.3,44,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",15456,2025-05-06,"Janus Metz",,
370,tt20603308,2025-05-07,2025-05-07,,"Andor: Who Are You?","Andor: Who Are You?",https://www.imdb.com/title/tt20603308/,Episódio de TV,9.7,47,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",29288,2025-05-06,"Janus Metz",10,2025-05-07
371,tt20603310,2025-05-07,2025-05-07,,"Andor: Welcome to the Rebellion","Andor: Welcome to the Rebellion",https://www.imdb.com/title/tt20603310/,Episódio de TV,9.6,58,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",25583,2025-05-06,"Janus Metz",10,2025-05-07
372,tt35499006,2025-05-08,2025-05-08,,"Doubters to Believers: Liverpool FC - Klopp's Era","Doubters to Believers: Liverpool FC - Klopp's Era",https://www.imdb.com/title/tt35499006/,Série de TV,8.4,,2025,"Esportes",658,2025-02-28,,,
373,tt20600980,2025-05-08,2025-05-08,,"Skeleton Crew","Skeleton Crew",https://www.imdb.com/title/tt20600980/,Série de TV,7.0,40,2024,"Ação, Aventura, Ficção científica",42645,2024-12-03,,,
374,tt32019314,2025-05-08,2025-05-08,,"Star Wars: Histórias do Império","Star Wars: Tales of the Empire",https://www.imdb.com/title/tt32019314/,Minissérie de televisão,7.0,18,2024,"Animação, Curta-Metragem, Ação, Aventura, Drama, Fantasia, Ficção científica",16174,2024-05-04,,,
375,tt32550885,2025-05-12,2025-05-12,,"The Last of Us: Feel Her Love","The Last of Us: Feel Her Love",https://www.imdb.com/title/tt32550885/,Episódio de TV,7.1,45,2025,"Ação, Aventura, Drama, Terror, Ficção científica, Suspense",28466,2025-05-11,"Stephen Williams",,
376,tt20603306,2025-05-13,2025-05-13,,"Andor: Messenger","Andor: Messenger",https://www.imdb.com/title/tt20603306/,Episódio de TV,8.3,44,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",15456,2025-05-06,"Janus Metz",,
377,tt20603308,2025-05-13,2025-05-13,,"Andor: Who Are You?","Andor: Who Are You?",https://www.imdb.com/title/tt20603308/,Episódio de TV,9.7,47,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",29288,2025-05-06,"Janus Metz",10,2025-05-07
378,tt20969586,2025-05-19,2025-05-19,,"Thunderbolts*","Thunderbolts*",https://www.imdb.com/title/tt20969586/,Filme,7.1,127,2025,"Ação, Aventura, Policial, Drama, Fantasia, Ficção científica",255417,2025-05-02,"Jake Schreier",8,2025-05-20
379,tt20603310,2025-05-20,2025-05-20,,"Andor: Welcome to the Rebellion","Andor: Welcome to the Rebellion",https://www.imdb.com/title/tt20603310/,Episódio de TV,9.6,58,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",25583,2025-05-06,"Janus Metz",10,2025-05-07
380,tt32550886,2025-05-23,2025-05-23,,"The Last of Us: The Price","The Last of Us: The Price",https://www.imdb.com/title/tt32550886/,Episódio de TV,8.4,60,2025,"Ação, Aventura, Drama, Terror, Ficção científica, Suspense",30767,2025-05-18,"Neil Druckmann",,
381,tt0062622,2025-05-24,2025-05-24,,"2001: Uma Odisséia no Espaço","2001: A Space Odyssey",https://www.imdb.com/title/tt0062622/,Filme,8.3,149,1968,"Aventura, Ficção científica",773096,1968-07-04,"Stanley Kubrick",,
382,tt0082912,2025-05-26,2025-05-26,,"Pixote: A Lei do Mais Fraco","Pixote: A Lei do Mais Fraco",https://www.imdb.com/title/tt0082912/,Filme,7.9,128,1980,"Policial, Drama",10476,1981-09-18,"Hector Babenco",,
383,tt32550887,2025-05-27,2025-05-27,,"The Last of Us: Convergence","The Last of Us: Convergence",https://www.imdb.com/title/tt32550887/,Episódio de TV,6.2,50,2025,"Ação, Aventura, Drama, Terror, Ficção científica, Suspense",25042,2025-05-25,"Nina Lopez-Corrado",,
384,tt3581920,2025-05-27,2025-05-27,,"The Last of Us","The Last of Us",https://www.imdb.com/title/tt3581920/,Série de TV,8.5,50,2023,"Ação, Aventura, Drama, Terror, Ficção científica, Suspense",718202,2023-01-15,,,
385,tt20603318,2025-05-27,2025-05-27,,"Andor: Make It Stop","Andor: Make It Stop",https://www.imdb.com/title/tt20603318/,Episódio de TV,9.5,48,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",20418,2025-05-13,"Alonso Ruizpalacios",10,2025-05-27
386,tt20603320,2025-05-27,2025-05-27,,"Andor: Who Else Knows?","Andor: Who Else Knows?",https://www.imdb.com/title/tt20603320/,Episódio de TV,9.4,42,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",18728,2025-05-13,"Alonso Ruizpalacios",10,2025-05-27
387,tt20603322,2025-05-27,2025-05-27,,"Andor: Jedha, Kyber, Erso","Andor: Jedha, Kyber, Erso",https://www.imdb.com/title/tt20603322/,Episódio de TV,9.4,46,2025,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",20007,2025-05-13,"Alonso Ruizpalacios",9,2025-05-27
388,tt9253284,2025-05-27,2025-05-27,,"Andor","Andor",https://www.imdb.com/title/tt9253284/,Série de TV,8.6,60,2022,"Ação, Aventura, Drama, Fantasia, Ficção científica, Suspense",262672,2022-09-21,,10,2025-05-20
389,tt14513804,2025-05-28,2025-05-28,,"Capitão América: Admirável Mundo Novo","Captain America: Brave New World",https://www.imdb.com/title/tt14513804/,Filme,5.6,118,2025,"Ação, Aventura, Ficção científica",174372,2025-02-13,"Julius Onah",,
390,tt7888964,2025-06-14,2025-06-14,,"Anônimo","Nobody",https://www.imdb.com/title/tt7888964/,Filme,7.4,92,2021,"Ação, Policial, Drama, Suspense",383479,2021-03-26,"Ilya Naishuller",,
391,tt27403986,2025-06-16,2025-06-16,,"Jurado Nº 2","Juror #2",https://www.imdb.com/title/tt27403986/,Filme,7.0,114,2024,"Policial, Drama, Mistério, Suspense",120387,2024-11-21,"Clint Eastwood",8,2025-06-16
392,tt31842380,2025-06-17,2025-06-17,,"Adolescência: Episode #1.1","Adolescence: Episode #1.1",https://www.imdb.com/title/tt31842380/,Episódio de TV,8.8,65,2025,"Policial, Drama, Suspense",15424,2025-03-13,"Philip Barantini",,
393,tt33079592,2025-06-17,2025-06-17,,"Adolescência: Episode #1.2","Adolescence: Episode #1.2",https://www.imdb.com/title/tt33079592/,Episódio de TV,8.0,51,2025,"Policial, Drama, Suspense",12958,2025-03-13,"Philip Barantini",,
394,tt3748528,2025-06-17,2025-06-17,,"Rogue One: Uma História Star Wars","Rogue One",https://www.imdb.com/title/tt3748528/,Filme,7.8,133,2016,"Ação, Aventura, Ficção científica",745350,2016-12-15,"Gareth Edwards",10,2025-06-17
395,tt33079593,2025-06-19,2025-06-19,,"Adolescência: Episode #1.3","Adolescence: Episode #1.3",https://www.imdb.com/title/tt33079593/,Episódio de TV,9.1,52,2025,"Policial, Drama, Suspense",16810,2025-03-13,"Philip Barantini",,
396,tt33079594,2025-06-19,2025-06-19,,"Adolescência: Episode #1.4","Adolescence: Episode #1.4",https://www.imdb.com/title/tt33079594/,Episódio de TV,8.4,60,2025,"Policial, Drama, Suspense",13021,2025-03-13,"Philip Barantini",,
397,tt31806037,2025-06-19,2025-06-19,,"Adolescência","Adolescence",https://www.imdb.com/title/tt31806037/,Minissérie de televisão,8.1,60,2025,"Policial, Drama, Suspense",273748,2025-03-13,,9,2025-06-19
398,tt35301431,2025-06-26,2025-06-26,,"Homem com H","Homem com H",https://www.imdb.com/title/tt35301431/,Filme,7.8,129,2025,"Biografia, Drama, Musical",5389,2025-05-01,"Esmir Filho",9,2025-06-26
399,tt33056155,2025-06-27,2025-06-27,,"Round 6: Yeolsoewa kal","Ojing-eo geim: Yeolsoewa kal",https://www.imdb.com/title/tt33056155/,Episódio de TV,7.3,57,2025,"Ação, Policial, Drama, Mistério, Suspense",14916,2025-06-27,"Hwang Dong-hyuk",,
400,tt35643632,2025-06-28,2025-06-28,,"Round 6: Byeol-i bichnaneun bam","Ojing-eo geim: Byeol-i bichnaneun bam",https://www.imdb.com/title/tt35643632/,Episódio de TV,8.5,60,2025,"Ação, Policial, Drama, Mistério, Suspense",17569,2025-06-27,"Hwang Dong-hyuk",,
401,tt37427768,2025-06-28,2025-06-28,,"Round 6: Dangsin-ui tas-i anida","Ojing-eo geim: Dangsin-ui tas-i anida",https://www.imdb.com/title/tt37427768/,Episódio de TV,7.6,66,2025,"Ação, Policial, Drama, Mistério, Suspense",13217,2025-06-27,"Hwang Dong-hyuk",,
402,tt37427772,2025-06-30,2025-06-30,,"Round 6: 222","Ojing-eo geim: 222",https://www.imdb.com/title/tt37427772/,Episódio de TV,7.6,66,2025,"Ação, Policial, Drama, Mistério, Suspense",13104,2025-06-27,"Hwang Dong-hyuk",,
403,tt37427776,2025-07-01,2025-07-01,,"Round 6: o/_\|_|","Ojing-eo geim: o/_\|_|",https://www.imdb.com/title/tt37427776/,Episódio de TV,7.5,62,2025,"Ação, Policial, Drama, Mistério, Suspense",13171,2025-06-27,"Hwang Dong-hyuk",,
404,tt37427778,2025-07-01,2025-07-01,,"Round 6: Saram-eun...","Ojing-eo geim: Saram-eun...",https://www.imdb.com/title/tt37427778/,Episódio de TV,6.7,55,2025,"Ação, Policial, Drama, Mistério, Suspense",20470,2025-06-27,"Hwang Dong-hyuk",,
405,tt10919420,2025-07-01,2025-07-01,,"Round 6","Ojing-eo geim",https://www.imdb.com/title/tt10919420/,Série de TV,7.9,60,2021,"Ação, Policial, Drama, Mistério, Suspense",738660,2021-09-17,,,
406,tt7073996,2025-07-10,2025-07-10,,"Better Call Saul: Smoke","Better Call Saul: Smoke",https://www.imdb.com/title/tt7073996/,Episódio de TV,8.2,49,2018,"Policial, Drama",17442,2018-08-06,"Minkie Spiro",,
407,tt7073998,2025-07-10,2025-07-10,,"Better Call Saul: Breathe","Better Call Saul: Breathe",https://www.imdb.com/title/tt7073998/,Episódio de TV,8.8,45,2018,"Policial, Drama",16759,2018-08-13,"Michelle MacLaren",,
408,tt7074002,2025-07-10,2025-07-10,,"Better Call Saul: Something Beautiful","Better Call Saul: Something Beautiful",https://www.imdb.com/title/tt7074002/,Episódio de TV,8.4,43,2018,"Policial, Drama",16381,2018-08-20,"Daniel Sackheim",,
409,tt7074006,2025-07-11,2025-07-11,,"Better Call Saul: Talk","Better Call Saul: Talk",https://www.imdb.com/title/tt7074006/,Episódio de TV,8.2,47,2018,"Policial, Drama",16350,2018-08-27,"John Shiban",,
410,tt6016744,2025-07-12,2025-07-12,,"Democracia em Vertigem","The Edge of Democracy",https://www.imdb.com/title/tt6016744/,Filme,7.3,121,2019,"Documentário, História",16439,2019-06-19,"Petra Costa",10,2025-07-12
411,tt7074010,2025-07-14,2025-07-14,,"Better Call Saul: Quite a Ride","Better Call Saul: Quite a Ride",https://www.imdb.com/title/tt7074010/,Episódio de TV,8.4,52,2018,"Policial, Drama",16448,2018-09-03,"Michael Morris",,
412,tt7074012,2025-07-14,2025-07-14,,"Better Call Saul: Piñata","Better Call Saul: Piñata",https://www.imdb.com/title/tt7074012/,Episódio de TV,8.5,46,2018,"Policial, Drama",16326,2018-09-10,"Andrew Stanton",,
413,tt30012657,2025-07-15,2025-07-15,,"Apocalipse nos Trópicos","Apocalypse in the Tropics",https://www.imdb.com/title/tt30012657/,Filme,7.5,110,2024,"Documentário, História",2494,2025-07-14,"Petra Costa",,
414,tt7074020,2025-07-15,2025-07-15,,"Better Call Saul: Something Stupid","Better Call Saul: Something Stupid",https://www.imdb.com/title/tt7074020/,Episódio de TV,8.3,42,2018,"Policial, Drama",16228,2018-09-17,"Deborah Chow",,
415,tt7074022,2025-07-17,2025-07-17,,"Better Call Saul: Coushatta","Better Call Saul: Coushatta",https://www.imdb.com/title/tt7074022/,Episódio de TV,8.8,52,2018,"Policial, Drama",16563,2018-09-24,"Jim McKay",,
416,tt7074032,2025-07-18,2025-07-18,,"Better Call Saul: Wiedersehen","Better Call Saul: Wiedersehen",https://www.imdb.com/title/tt7074032/,Episódio de TV,9.1,54,2018,"Policial, Drama",17116,2018-10-01,"Vince Gilligan",,
417,tt7074030,2025-07-19,2025-07-19,,"Better Call Saul: Winner","Better Call Saul: Winner",https://www.imdb.com/title/tt7074030/,Episódio de TV,9.6,61,2018,"Policial, Drama",25092,2018-10-08,"Adam Bernstein",10,2025-07-22
418,tt8772146,2025-07-21,2025-07-21,,"Better Call Saul: Magic Man","Better Call Saul: Magic Man",https://www.imdb.com/title/tt8772146/,Episódio de TV,8.7,54,2020,"Policial, Drama",19213,2020-02-23,"Bronwen Hughes",,
419,tt8772148,2025-07-21,2025-07-21,,"Better Call Saul: 50% Off","Better Call Saul: 50% Off",https://www.imdb.com/title/tt8772148/,Episódio de TV,8.7,46,2020,"Policial, Drama",18464,2020-02-24,"Norberto Barba",,
420,tt8772190,2025-07-22,2025-07-22,,"Better Call Saul: The Guy for This","Better Call Saul: The Guy for This",https://www.imdb.com/title/tt8772190/,Episódio de TV,9.0,53,2020,"Policial, Drama",18486,2020-03-02,"Michael Morris",,
421,tt8772192,2025-07-22,2025-07-22,,"Better Call Saul: Namaste","Better Call Saul: Namaste",https://www.imdb.com/title/tt8772192/,Episódio de TV,8.5,45,2020,"Policial, Drama",17597,2020-03-09,"Gordon Smith",,
422,tt8772194,2025-07-23,2025-07-23,,"Better Call Saul: Dedicado a Max","Better Call Saul: Dedicado a Max",https://www.imdb.com/title/tt8772194/,Episódio de TV,8.5,50,2020,"Policial, Drama",17801,2020-03-16,"Jim McKay",,
423,tt8772196,2025-07-23,2025-07-23,,"Better Call Saul: Wexler v. Goodman","Better Call Saul: Wexler v. Goodman",https://www.imdb.com/title/tt8772196/,Episódio de TV,9.3,50,2020,"Policial, Drama",20900,2020-03-23,"Michael Morris",,
424,tt8772216,2025-07-24,2025-07-24,,"Better Call Saul: JMM","Better Call Saul: JMM",https://www.imdb.com/title/tt8772216/,Episódio de TV,9.1,47,2020,"Policial, Drama",19488,2020-03-30,"Melissa Bernstein",,
425,tt8772218,2025-07-25,2025-07-25,,"Better Call Saul: Bagman","Better Call Saul: Bagman",https://www.imdb.com/title/tt8772218/,Episódio de TV,9.7,54,2020,"Policial, Drama",34070,2020-04-06,"Vince Gilligan",10,2025-07-25
426,tt8772220,2025-07-25,2025-07-25,,"Better Call Saul: Bad Choice Road","Better Call Saul: Bad Choice Road",https://www.imdb.com/title/tt8772220/,Episódio de TV,9.7,59,2020,"Policial, Drama",32851,2020-04-13,"Thomas Schnauz",,
427,tt8772224,2025-07-25,2025-07-25,,"Better Call Saul: Something Unforgivable","Better Call Saul: Something Unforgivable",https://www.imdb.com/title/tt8772224/,Episódio de TV,9.4,59,2020,"Policial, Drama",24933,2020-04-20,"Peter Gould",,
428,tt0289043,2025-07-28,2025-07-28,,"Extermínio","28 Days Later",https://www.imdb.com/title/tt0289043/,Filme,7.5,113,2002,"Drama, Terror, Ficção científica, Suspense",530136,2003-08-29,"Danny Boyle",8,2025-07-28
429,tt0463854,2025-07-29,2025-07-29,,"Extermínio 2","28 Weeks Later",https://www.imdb.com/title/tt0463854/,Filme,6.8,99,2007,"Terror, Ficção científica",352165,2007-06-01,"Juan Carlos Fresnadillo",,
430,tt11630814,2025-07-30,2025-07-30,,"Better Call Saul: Wine and Roses","Better Call Saul: Wine and Roses",https://www.imdb.com/title/tt11630814/,Episódio de TV,8.8,60,2022,"Policial, Drama",25782,2022-04-18,"Michael Morris",,
431,tt12187028,2025-07-30,2025-07-30,,"Better Call Saul: Carrot and Stick","Better Call Saul: Carrot and Stick",https://www.imdb.com/title/tt12187028/,Episódio de TV,9.1,61,2022,"Policial, Drama",25377,2022-04-18,"Vince Gilligan",,
432,tt12187032,2025-07-30,2025-07-30,,"Better Call Saul: Rock and Hard Place","Better Call Saul: Rock and Hard Place",https://www.imdb.com/title/tt12187032/,Episódio de TV,9.7,47,2022,"Policial, Drama",42054,2022-04-25,"Gordon Smith",10,2025-07-30
433,tt12187036,2025-07-30,2025-07-30,,"Better Call Saul: Hit and Run","Better Call Saul: Hit and Run",https://www.imdb.com/title/tt12187036/,Episódio de TV,8.6,45,2022,"Policial, Drama",23340,2022-05-02,"Rhea Seehorn",,
434,tt12187034,2025-07-30,2025-07-30,,"Better Call Saul: Black and Blue","Better Call Saul: Black and Blue",https://www.imdb.com/title/tt12187034/,Episódio de TV,8.1,52,2022,"Policial, Drama",22704,2022-05-09,"Melissa Bernstein",,
435,tt12187038,2025-07-31,2025-07-31,,"Better Call Saul: Axe and Grind","Better Call Saul: Axe and Grind",https://www.imdb.com/title/tt12187038/,Episódio de TV,8.2,44,2022,"Policial, Drama",22204,2022-05-16,"Giancarlo Esposito",,
436,tt12187040,2025-07-31,2025-07-31,,"Better Call Saul: Plan and Execution","Better Call Saul: Plan and Execution",https://www.imdb.com/title/tt12187040/,Episódio de TV,9.9,50,2022,"Policial, Drama",72508,2022-05-23,"Thomas Schnauz",10,2025-07-31
437,tt12187044,2025-07-31,2025-07-31,,"Better Call Saul: Point and Shoot","Better Call Saul: Point and Shoot",https://www.imdb.com/title/tt12187044/,Episódio de TV,9.8,50,2022,"Policial, Drama",49178,2022-07-11,"Vince Gilligan",10,2025-07-31
438,tt10548174,2025-08-03,2025-08-03,,"Extermínio: A Evolução","28 Years Later",https://www.imdb.com/title/tt10548174/,Filme,6.6,115,2025,"Terror, Ficção científica, Suspense",176767,2025-06-19,"Danny Boyle",8,2025-08-03
439,tt12187042,2025-08-04,2025-08-04,,"Better Call Saul: Fun and Games","Better Call Saul: Fun and Games",https://www.imdb.com/title/tt12187042/,Episódio de TV,9.4,56,2022,"Policial, Drama",32196,2022-07-18,"Michael Morris",,
440,tt12187048,2025-08-04,2025-08-04,,"Better Call Saul: Nippy","Better Call Saul: Nippy",https://www.imdb.com/title/tt12187048/,Episódio de TV,8.5,52,2022,"Policial, Drama",30530,2022-07-25,"Michelle MacLaren",,
441,tt0056322,2025-08-04,2025-08-04,,"O Pagador de Promessas","O Pagador de Promessas",https://www.imdb.com/title/tt0056322/,Filme,8.3,98,1962,"Drama",4522,1962-04-17,"Anselmo Duarte",10,2025-08-04
442,tt12188568,2025-08-06,2025-08-06,,"Better Call Saul: Breaking Bad","Better Call Saul: Breaking Bad",https://www.imdb.com/title/tt12188568/,Episódio de TV,9.0,57,2022,"Policial, Drama",31849,2022-08-01,"Thomas Schnauz",9,2025-08-06
443,tt12188572,2025-08-09,2025-08-09,,"Better Call Saul: Waterworks","Better Call Saul: Waterworks",https://www.imdb.com/title/tt12188572/,Episódio de TV,9.4,58,2022,"Policial, Drama",34359,2022-08-08,"Vince Gilligan",10,2025-08-09
444,tt11630828,2025-08-09,2025-08-09,,"Better Call Saul: Saul Gone","Better Call Saul: Saul Gone",https://www.imdb.com/title/tt11630828/,Episódio de TV,9.8,69,2022,"Policial, Drama",68682,2022-08-15,"Peter Gould",,
445,tt3032476,2025-08-09,2025-08-09,,"Better Call Saul","Better Call Saul",https://www.imdb.com/title/tt3032476/,Série de TV,9.0,45,2015,"Policial, Drama",793832,2015-02-09,,10,2025-08-09
446,tt31434639,2025-08-12,2025-08-12,,"Tempo de Guerra","Warfare",https://www.imdb.com/title/tt31434639/,Filme,7.2,95,2025,"Ação, Drama, Guerra",99733,2025-04-17,"Alex Garland, Ray Mendoza",8,2025-08-12
447,tt32765561,2025-08-13,2025-08-13,,"O Urso: Groundhogs","The Bear: Groundhogs",https://www.imdb.com/title/tt32765561/,Episódio de TV,7.9,32,2025,"Comédia, Drama",4484,2025-06-25,"Christopher Storer",,
448,tt36943978,2025-08-13,2025-08-13,,"O Urso: Soubise","The Bear: Soubise",https://www.imdb.com/title/tt36943978/,Episódio de TV,7.6,32,2025,"Comédia, Drama",4057,2025-06-25,"Duccio Fabbri, Christopher Storer",,
449,tt31193180,2025-08-13,2025-08-13,,"Pecadores","Sinners",https://www.imdb.com/title/tt31193180/,Filme,7.5,137,2025,"Ação, Drama, Terror, Musical, Suspense",345274,2025-04-18,"Ryan Coogler",10,2025-08-13
450,tt5950044,2025-08-17,2025-08-17,,"Superman","Superman",https://www.imdb.com/title/tt5950044/,Filme,7.1,129,2025,"Ação, Aventura, Ficção científica",375994,2025-07-10,"James Gunn",,
451,tt4916630,2025-08-18,2025-08-18,,"Luta por Justiça","Just Mercy",https://www.imdb.com/title/tt4916630/,Filme,7.6,137,2019,"Biografia, Policial, Drama",83410,2020-02-27,"Destin Daniel Cretton",,
452,tt9603208,2025-08-19,2025-08-19,,"Missão: Impossível - O Acerto Final","Mission: Impossible - The Final Reckoning",https://www.imdb.com/title/tt9603208/,Filme,7.2,169,2025,"Ação, Aventura, Suspense",206497,2025-05-22,"Christopher McQuarrie",,
453,tt31022108,2025-08-20,2025-08-20,,"Star Wars: The Bad Batch: A Different Approach","Star Wars: The Bad Batch: A Different Approach",https://www.imdb.com/title/tt31022108/,Episódio de TV,7.8,25,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2849,2024-02-28,"Brad Rau, Saul Ruiz",,
454,tt31022120,2025-08-20,2025-08-20,,"Star Wars: The Bad Batch: The Return","Star Wars: The Bad Batch: The Return",https://www.imdb.com/title/tt31022120/,Episódio de TV,7.7,26,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2700,2024-03-06,"Brad Rau, Nathaniel Villanueva",,
455,tt31022132,2025-08-20,2025-08-20,,"Star Wars: The Bad Batch: Infiltration","Star Wars: The Bad Batch: Infiltration",https://www.imdb.com/title/tt31022132/,Episódio de TV,8.1,26,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2674,2024-03-13,"Brad Rau, Steward Lee",,
456,tt31022135,2025-08-20,2025-08-20,,"Star Wars: The Bad Batch: Extraction","Star Wars: The Bad Batch: Extraction",https://www.imdb.com/title/tt31022135/,Episódio de TV,8.4,23,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2778,2024-03-13,"Saul Ruiz, Brad Rau",,
457,tt31022137,2025-08-23,2025-08-23,,"Star Wars: The Bad Batch: Bad Territory","Star Wars: The Bad Batch: Bad Territory",https://www.imdb.com/title/tt31022137/,Episódio de TV,7.1,26,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2507,2024-03-20,"Brad Rau, Nathaniel Villanueva",,
458,tt0144782,2025-08-25,2025-08-25,,"O Bandido da Luz Vermelha","O Bandido da Luz Vermelha",https://www.imdb.com/title/tt0144782/,Filme,7.2,92,1968,"Policial, Suspense",1978,1968-12-02,"Rogério Sganzerla",,
459,tt31022140,2025-08-25,2025-08-25,,"Star Wars: The Bad Batch: The Harbinger","Star Wars: The Bad Batch: The Harbinger",https://www.imdb.com/title/tt31022140/,Episódio de TV,8.0,25,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2800,2024-03-27,"Brad Rau, Steward Lee",,
460,tt31022143,2025-08-25,2025-08-25,,"Star Wars: The Bad Batch: Identity Crisis","Star Wars: The Bad Batch: Identity Crisis",https://www.imdb.com/title/tt31022143/,Episódio de TV,8.1,23,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2606,2024-04-03,"Brad Rau, Saul Ruiz",,
461,tt31022147,2025-08-25,2025-08-25,,"Star Wars: The Bad Batch: Point of No Return","Star Wars: The Bad Batch: Point of No Return",https://www.imdb.com/title/tt31022147/,Episódio de TV,8.5,22,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2620,2024-04-03,"Brad Rau, Nathaniel Villanueva",,
462,tt31022151,2025-08-26,2025-08-26,,"Star Wars: The Bad Batch: Juggernaut","Star Wars: The Bad Batch: Juggernaut",https://www.imdb.com/title/tt31022151/,Episódio de TV,7.6,21,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2413,2024-04-10,"Brad Rau, Steward Lee",,
463,tt31022157,2025-08-26,2025-08-26,,"Star Wars: The Bad Batch: Into the Breach","Star Wars: The Bad Batch: Into the Breach",https://www.imdb.com/title/tt31022157/,Episódio de TV,8.0,24,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2391,2024-04-17,"Brad Rau, Saul Ruiz",,
464,tt16311594,2025-09-03,2025-09-03,,"F1: O Filme","F1",https://www.imdb.com/title/tt16311594/,Filme,7.7,155,2025,"Ação, Drama, Esportes",283561,2025-06-26,"Joseph Kosinski",,
465,tt31022165,2025-09-03,2025-09-03,,"Star Wars: The Bad Batch: Flash Strike","Star Wars: The Bad Batch: Flash Strike",https://www.imdb.com/title/tt31022165/,Episódio de TV,7.7,22,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",2322,2024-04-24,"Brad Rau, Nathaniel Villanueva",,
466,tt31022168,2025-09-04,2025-09-04,,"Star Wars: The Bad Batch: The Cavalry Has Arrived","Star Wars: The Bad Batch: The Cavalry Has Arrived",https://www.imdb.com/title/tt31022168/,Episódio de TV,9.1,50,2024,"Animação, Ação, Aventura, Drama, Fantasia, Ficção científica",3820,2024-05-01,"Brad Rau, Steward Lee, Saul Ruiz",,
467,tt36461945,2025-09-04,2025-09-04,,"Star Wars: Histórias do Submundo: A Way Forward","Star Wars: Tales of the Underworld: A Way Forward",https://www.imdb.com/title/tt36461945/,Episódio de TV,7.8,15,2025,"Animação, Curta-Metragem, Ação, Aventura, Drama, Família, Fantasia, Ficção científica",1934,2025-05-04,"Saul Ruiz",,
