"CO_CURSO","NO_CURSO","FK_CO_IES"
1104,CIÊNCIAS ECONÔMICAS,13
1105,HOTELARIA,13
1107,MEDICINA,13
1109,CIÊNCIAS BIOLÓGICAS,13
1110,CIÊNCIA DA COMPUTAÇÃO,13
1111,SECRETARIADO EXECUTIVO,13
1112,MATEMÁTICA,13
1113,DIREITO,13
1114,AUTOMAÇÃO INDUSTRIAL,13
1115,MODA,13
1121,CIÊNCIAS CONTÁBEIS,13
1124,DIREITO,13
1130,TURISMO,13
1140,ARQUITETURA E URBANISMO,13
1222,HISTÓRIA,14
1223,FILOSOFIA,14
1224,CIÊNCIAS SOCIAIS,14
1225,ENFERMAGEM,14
1227,NUTRIÇÃO,14
1230,DIREITO,14
1232,CIÊNCIAS ECONÔMICAS,14
1233,CIÊNCIAS CONTÁBEIS,14
1237,ARQUITETURA E URBANISMO,14
1240,GEOLOGIA,14
1242,SERVIÇO SOCIAL,14
1253,EDUCAÇÃO FÍSICA,14
1261,SISTEMAS DE INFORMAÇÃO,14
1312,ADMINISTRAÇÃO,15
1313,CIÊNCIAS CONTÁBEIS,15
1314,CIÊNCIAS ECONÔMICAS,15
1315,DIREITO,15
1318,ENGENHARIA ELÉTRICA,15
1319,ENGENHARIA MECÂNICA,15
1321,FILOSOFIA,15
1322,FISIOTERAPIA,15
1325,LETRAS - LÍNGUA PORTUGUESA,15
1326,PEDAGOGIA,15
1327,PSICOLOGIA,15
1329,CIÊNCIA DA COMPUTAÇÃO,15
1428,MATEMÁTICA,17
1429,QUÍMICA,17
1430,CIÊNCIAS BIOLÓGICAS,17
1431,CIÊNCIAS ECONÔMICAS,17
1433,AGRONOMIA,17
1434,LETRAS,17
1435,PEDAGOGIA,17
1436,DIREITO,17
1438,EDUCAÇÃO FÍSICA,17
1439,MEDICINA,17
1440,MEDICINA VETERINÁRIA,17
1441,ODONTOLOGIA,17
1443,CIÊNCIAS CONTÁBEIS,17
1444,MÚSICA,17
1445,GEOGRAFIA,17
1446,HISTÓRIA,17
1448,ENGENHARIA CIVIL,17
1449,ENGENHARIA ELÉTRICA,17
1450,ENGENHARIA MECÂNICA,17
1451,ENGENHARIA QUÍMICA,17
1452,CIÊNCIA DA COMPUTAÇÃO,17
1453,FILOSOFIA,17
1454,FÍSICA,17
1511,ENGENHARIA CIVIL,18
1512,ENGENHARIA ELÉTRICA,18
1513,FILOSOFIA,18
1515,PEDAGOGIA,18
1516,PSICOLOGIA,18
1517,ADMINISTRAÇÃO,18
1518,MEDICINA,18
1523,CIÊNCIAS CONTÁBEIS,18
1526,SERVIÇO SOCIAL,18
1529,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,18
1530,TEOLOGIA,18
1531,DIREITO,18
1532,CIÊNCIA DA COMPUTAÇÃO,18
1534,ARQUITETURA E URBANISMO,18
1536,ENGENHARIA ELETRÔNICA,18
1538,MATEMÁTICA,18
1624,CIÊNCIAS BIOLÓGICAS,19
1626,TURISMO,19
1627,ENFERMAGEM,19
1628,FISIOTERAPIA,19
1629,MEDICINA,19
1630,NUTRIÇÃO,19
1631,ODONTOLOGIA,19
1632,TERAPIA OCUPACIONAL,19
1634,ARQUITETURA E URBANISMO,19
1635,ENGENHARIA CIVIL,19
1636,BIBLIOTECONOMIA,19
1637,MATEMÁTICA,19
1638,CIÊNCIAS SOCIAIS,19
1641,EDUCAÇÃO FÍSICA,19
1642,DIREITO,19
1643,FILOSOFIA,19
1644,FONOAUDIOLOGIA,19
1646,HISTÓRIA,19
1648,PEDAGOGIA,19
1650,SERVIÇO SOCIAL,19
1651,TEOLOGIA,19
1652,CIÊNCIAS ECONÔMICAS,19
1653,CIÊNCIAS CONTÁBEIS,19
1654,ADMINISTRAÇÃO,19
1659,QUÍMICA,19
1660,ENGENHARIA DE COMPUTAÇÃO,19
1716,GEOGRAFIA,20
1717,MATEMÁTICA,20
1718,ENGENHARIA MECÂNICA,20
1721,CIÊNCIA DA COMPUTAÇÃO,20
1724,EDUCAÇÃO FÍSICA,20
1725,MEDICINA,20
1726,ODONTOLOGIA,20
1727,ENFERMAGEM,20
1728,AGRONOMIA,20
1729,ADMINISTRAÇÃO,20
1734,CIÊNCIAS CONTÁBEIS,20
1735,CIÊNCIAS ECONÔMICAS,20
1736,DIREITO,20
1738,FILOSOFIA,20
1740,HISTÓRIA,20
1741,PEDAGOGIA,20
1748,ENGENHARIA CIVIL,20
1749,ENGENHARIA ELÉTRICA,20
1750,MÚSICA,20
1752,ADMINISTRAÇÃO,20
1753,CIÊNCIAS CONTÁBEIS,20
1754,MATEMÁTICA,20
1757,CIÊNCIAS CONTÁBEIS,20
1758,PEDAGOGIA,20
1762,CIÊNCIAS CONTÁBEIS,20
1766,MATEMÁTICA,20
1767,ADMINISTRAÇÃO,20
1770,ADMINISTRAÇÃO,20
1772,CIÊNCIAS CONTÁBEIS,20
1773,ADMINISTRAÇÃO,20
1774,ADMINISTRAÇÃO,20
1780,PEDAGOGIA,20
1781,EDUCAÇÃO FÍSICA,20
1782,PEDAGOGIA,20
1786,ARQUITETURA E URBANISMO,20
